Guimaraes,Beira Mar,home,08.05.2011,21:15,"Beira Mar sofre uma derrota nas mãos do Guimaraes na Liga Portugal. Resumo do Jogo: Moreira P. comete uma infração e recebe um cartão amarelo aos 1 minutos. Monteiro C. comete uma infração e recebe um cartão amarelo aos 3 minutos. No minuto 5, Djamal recebe um cartão amarelo. Eduardo W. recebe um cartão amarelo aos 7 minutos. Miguel R. recebe um cartão amarelo aos 7 minutos. O golo de Toscano M. aos 8 minutos emociona os adeptos do Guimaraes. O árbitro exibe um cartão amarelo a Toscano M. aos 8 minutos. O árbitro exibe um cartão amarelo a Santana A. aos 8 minutos. "
Leiria,Naval,home,08.05.2011,21:15,"Em casa, o Leiria conquista uma vitória decisiva contra o Naval na Liga Portugal. Resumo do Jogo: Gottardi E. recebe um cartão amarelo aos 30+ minutos. No minuto 3, Simplicio M. recebe um cartão amarelo. Curto M. comete uma infração e recebe um cartão amarelo aos 4 minutos. No minuto 6, Silva J. coloca o Leiria em vantagem. No minuto 7, Paulo M. recebe um cartão amarelo. O árbitro exibe um cartão amarelo a Leandrinho aos 7 minutos. O árbitro exibe um cartão amarelo a Silva J. aos 8 minutos. No minuto 8, Patrick recebe um cartão amarelo. "
Nacional,Olhanense,away,08.05.2011,21:15,"Vitória histórica para o Olhanense sobre o Nacional na Liga Portugal. Resumo do Jogo: Aos 0 minutos, o árbitro adverte Anselmo com um cartão amarelo. No minuto 4, Delson recebe um cartão amarelo. Toy deixa a sua marca aos 5 minutos com um incrível golo. Piloto N. recebe um cartão amarelo aos 6 minutos. No minuto 6, Pinto N. recebe um cartão amarelo. Verissimo B. comete uma infração e recebe um cartão amarelo aos 8 minutos. Mauricio comete uma infração e recebe um cartão amarelo aos 8 minutos. Goncalves J. comete uma infração e recebe um cartão amarelo aos 8 minutos. "
Portimonense,Maritimo,home,08.05.2011,21:15,"O Portimonense domina o Maritimo e sai vitorioso na Liga Portugal. Resumo do Jogo: Aos 2 minutos, o árbitro adverte Nascimento R. com um cartão amarelo. O árbitro exibe um cartão amarelo a Djalma aos 3 minutos. Pita I. recebe um cartão amarelo aos 5 minutos. Um golo crucial é apontado por Ivanildo aos 6 minutos para a equipa da casa. Aos 7 minutos, o árbitro adverte Pinto A. com um cartão amarelo. Baba recebe um cartão amarelo aos 7 minutos. Aos 8 minutos, o árbitro mostra o cartão vermelho a Żółta kartka / Pita I.. Aos 90+ minutos, o árbitro adverte Edinho com um cartão amarelo. "
Rio Ave,Benfica,away,08.05.2011,21:15,"Num jogo eletrizante, o Benfica supera o Rio Ave na Liga Portugal. Resumo do Jogo: Jara F. recebe um cartão amarelo aos 0 minutos. No minuto 0, Cardozo O. coloca o Benfica em vantagem. Aos 2 minutos, Cardozo O. marca um golo para a equipa visitante. Ze Gomes I. comete uma infração e recebe um cartão amarelo aos 3 minutos. O árbitro exibe um cartão amarelo a Pereira M. aos 3 minutos. O árbitro exibe um cartão amarelo a Wires aos 45+ minutos. O árbitro exibe um cartão amarelo a Airton aos 8 minutos. Aos 8 minutos, Braga B. marca um golo para a equipa da casa. O árbitro exibe um cartão amarelo a Garcia J. aos 8 minutos. No minuto 90+, Gaspar recebe um cartão amarelo. "
Sporting,Setubal,away,08.05.2011,21:15,"O Setubal brilha e vence o Sporting na Liga Portugal. Resumo do Jogo: Aos 5 minutos, o árbitro adverte Torsiglieri M. com um cartão amarelo. O golo de Jailson aos 5 minutos agita o jogo. Vukcevic S. comete uma infração e recebe um cartão amarelo aos 8 minutos. Leal H. comete uma infração e recebe um cartão amarelo aos 8 minutos. "
Setubal,FC Porto,away,01.05.2011,21:15,"O FC Porto brilha e vence o Setubal na Liga Portugal. Resumo do Jogo: Aos 1 minutos, Valdomiro marca um auto-golo contra a sua própria equipa. No minuto 3, Miguelito recebe um cartão amarelo. Um golo crucial é apontado por Otamendi N. aos 45+ minutos. Aos 5 minutos, Walter marca um golo para a equipa visitante. Walter recebe um cartão amarelo aos 7 minutos. No minuto 7, Sereno recebe um cartão amarelo. Varela deixa a sua marca aos 90+ minutos com um incrível golo. "
Olhanense,Benfica,draw,01.05.2011,19:15,"O Olhanense empata com o Benfica num jogo onde ambas equipas estiveram em alto nível. Resumo do Jogo: No minuto 0, Jara F. coloca o Benfica em vantagem. Jardel recebe um cartão amarelo aos 1 minutos. Żółta kartka / Jardel é expulso com um cartão vermelho aos 6 minutos. O árbitro exibe um cartão amarelo a Airton aos 8 minutos. Um golo crucial é apontado por Djalmir aos 90+ minutos para a equipa da casa. Aos 90+ minutos, o árbitro adverte Djalmir com um cartão amarelo. "
Beira Mar,Rio Ave,draw,01.05.2011,17:00,"Partida bem disputada entre Beira Mar e Rio Ave termina em empate na Liga Portugal. Resumo do Jogo: Um golo crucial é apontado por Tavares Y. aos 1 minutos para a equipa da casa. Aos 2 minutos, o árbitro adverte Moreira P. com um cartão amarelo. Gama B. recebe um cartão amarelo aos 3 minutos. No minuto 4, Tarantini coloca o Rio Ave em vantagem. Jeferson comete uma infração e recebe um cartão amarelo aos 5 minutos. Aos 6 minutos, o árbitro adverte Tatu L. com um cartão amarelo. No minuto 7, Wires recebe um cartão amarelo. Aos 90+ minutos, o árbitro adverte Felicio F. com um cartão amarelo. "
Braga,Leiria,draw,01.05.2011,17:00,"Um empate eletrizante marca o duelo entre Braga e Leiria na Liga Portugal. Resumo do Jogo: No minuto 0, Simoes F. recebe um cartão amarelo. No minuto 7, Iturra M. recebe um cartão amarelo. Aos 7 minutos, o árbitro adverte Vandinho com um cartão amarelo. O árbitro exibe um cartão amarelo a Patrick aos 90+ minutos. "
